Tetrahedral	Seesaw
11.229	0.69
9.679	1.229
14.33	1.667
11.156	1.586
12.715	0.539
11.609	1.014
11.86	0.472
9.943	0.303
9.771	0.478
8.917	0.637
8.335	0.415
11.431	0.643
8.227	0.544
10.982	0.526
10.168	0.722
12.064	0.525
10.893	0.518
8.547	0.997
9.153	0.393
10.532	1.043
9.729	0.6
10.478	0.593
11.112	0.699
8.845	0.693
10.237	0.484
9.516	0.899
10.272	0.624
8.686	0.564
9.157	0.545
10.776	0.794
9.694	0.886
9.227	0.749
9.81	0.599
11.972	0.741
12.995	1.668
10.061	0.395
10.323	0.277
9.998	0.866
9.206	0.199
12.091	1.069
11.415	0.739
10.486	0.492
8.452	0.78
9.555	0.486
12.186	0.763
12.124	0.521
9.745	1.023
9.248	0.642
9.663	0.845
10.231	0.278
11.053	0.52
9.405	0.922
10.411	0.516
8.95	0.601
9.777	0.276
10.104	0.472
11.095	0.512
10.526	1.129
9.285	0.617
11.581	0.351
8.657	0.613
9.429	1.196
9.808	0.829
11.125	0.589
10.068	0.48
10.252	1.085
9.415	0.679
10.984	0.568
10.739	0.704
8.724	0.633
10.466	0.957
9.559	0.436
9.734	0.958
10.47	0.917
10.72	0.498
11.183	0.594
10.233	0.627
7.151	0.922
10.429	0.527
11.019	0.766
9.56	0.585
9.671	0.747
11.024	0.775
9.09	0.627
11.42	1.195
9.805	0.654
8.824	0.688
9.589	0.853
9.902	0.911
11.405	0.406
11.222	1.026
8.745	0.404
13.013	1.607
9.847	0.69
7.769	0.374
11.161	0.794
10.608	0.608
11.449	0.404
8.584	0.717
11.398	0.724
12.775	1.211
9.881	1.065
9.292	0.556
7.883	0.824
9.373	0.549
10.246	0.611
11.225	0.768
9.547	0.38
11.028	0.75
9.921	0.385
11.217	0.713
9.915	0.502
11.371	0.622
10.65	0.531
8.668	0.454
9.074	0.413
9.937	0.486
10.099	0.562
8.798	0.906
7.545	0.471
12.099	0.957
7.753	0.576
11.614	1.405
9.161	0.556
12.288	0.548
7.99	0.733
9.861	0.749
8.873	0.679
8.844	0.41
10.265	0.595
10.616	0.427
10.459	0.244
10.173	0.783
8.384	0.932
8.511	0.669
10.562	0.32
8.684	0.629
10.111	0.974
11.66	0.984
10.073	0.642
10.705	0.72
11.417	0.928
9.011	0.669
8.346	0.486
9.149	0.43
9.5	0.393
8.78	0.734
8.106	0.875
8.958	0.663
9.718	1.743
9.353	0.862
10.079	0.299
10.939	1.44
10.005	0.183
9.049	0.712
7.666	1.106
10.424	0.503
9.19	0.55
10.414	1.048
10.263	0.467
8.894	0.619
8.391	0.749
9.079	0.515
8.911	0.809
9.285	0.669
7.794	0.91
10.428	0.256
8.72	0.617
9.601	0.675
10.248	0.98
7.515	0.892
9.098	0.559
8.155	0.487
8.737	0.954
8.094	1.01
9.356	0.519
11.445	0.609
10.384	0.704
10.098	0.65
9.321	0.559
9.348	0.256
8.975	1.119
11.847	1.332
9.31	0.786
8.907	0.534
11.183	0.55
10.086	0.386
8.969	1.111
11.674	1.007
10.198	0.605
10.096	0.406
8.124	0.496
9.735	0.661
9.832	0.648
9.534	0.6
10.51	0.651
8.877	0.387
11.002	0.329
6.704	1.438
11.715	0.817
8.566	0.28
10.905	0.683
7.285	0.654
8.299	0.459
8.339	0.622
10.321	0.31
7.704	1.167
11.281	0.38
9.187	0.852
10.226	0.432
8.149	0.782
11.304	0.52
9.85	0.623
8.661	0.832
9.116	0.742
11.63	0.834
9.391	0.223
8.995	0.537
8.901	0.739
6.68	0.721
10.05	0.525
9.06	0.842
7.501	0.779
11.593	0.951
7.885	0.939
8.877	0.507
7.997	0.845
10.682	0.411
11.293	0.461
13.12	0.895
8.428	0.861
9.946	1.402
9.458	0.511
10.778	0.865
7.915	1.184
7.314	1.023
9.246	0.554
8.71	0.386
10.0	0.619
9.246	0.969
11.523	1.19
10.923	0.64
8.046	1.16
8.93	1.446
8.621	0.402
8.432	0.806
8.994	0.928
10.639	0.899
9.305	0.666
12.412	0.612
10.127	0.862
9.623	0.467
8.052	0.794
12.688	0.598
10.117	1.055
9.736	0.596
9.031	0.507
8.323	0.854
7.319	1.289
10.058	0.542
7.564	0.953
7.142	1.024
8.047	0.656
9.152	0.492
10.944	0.709
8.146	0.333
9.826	0.454
9.909	0.952
8.543	0.676
9.973	0.783
9.266	1.122
9.987	0.412
7.732	0.674
10.291	0.495
10.559	0.801
9.009	0.53
10.269	0.433
10.965	0.528
8.928	0.952
9.767	0.571
11.439	0.972
8.918	0.603
11.267	0.618
10.193	0.911
10.316	1.117
9.644	1.453
9.99	0.534
8.858	0.438
9.916	0.541
9.845	0.725
9.99	0.504
7.389	0.663
8.87	0.762
9.009	0.81
11.587	0.633
9.541	1.542
7.691	0.656
8.949	0.911
8.855	0.659
10.182	0.275
11.927	0.871
10.653	0.44
8.826	0.588
11.575	0.618
8.148	0.499
9.763	0.611
7.759	0.899
11.01	1.147
11.731	0.961
9.444	0.599
7.757	0.687
8.37	1.011
10.881	0.76
10.709	1.138
8.461	2.037
10.685	1.371
8.796	1.653
9.589	0.751
7.131	1.238
9.299	0.915
8.154	0.508
8.859	0.599
9.63	0.729
12.027	0.885
12.297	0.547
8.346	0.378
9.179	0.634
9.094	1.018
11.059	0.856
8.686	0.512
7.831	0.535
8.435	0.6
11.203	0.243
11.243	0.695
10.403	0.756
11.495	0.84
11.041	0.632
7.666	0.947
9.527	0.555
11.117	0.552
10.724	0.413
8.501	0.663
10.849	0.964
10.819	0.469
11.26	0.399
12.209	1.65
10.843	1.102
8.331	0.416
8.801	1.207
8.796	0.53
8.524	0.99
9.43	0.719
8.979	1.165
7.933	1.392
10.972	0.348
6.676	1.042
8.933	0.342
12.319	0.475
9.33	0.893
10.728	0.505
8.857	1.152
9.335	0.591
9.856	0.592
10.892	1.212
9.7	0.57
7.829	0.488
9.744	0.382
10.404	0.458
10.977	0.79
8.325	1.458
10.232	0.93
9.637	0.682
10.532	0.409
10.566	0.616
10.127	0.359
9.403	0.674
10.198	0.466
7.448	0.577
10.839	0.454
8.616	0.714
8.508	0.95
10.332	0.844
11.91	0.886
10.214	0.743
9.304	0.735
9.356	0.633
8.243	1.136
9.082	1.45
10.855	0.534
9.12	0.69
11.137	0.769
10.363	0.628
11.034	0.635
10.982	0.673
9.379	1.125
11.944	1.143
7.981	0.736
9.702	0.433
8.35	0.627
11.546	0.662
8.652	0.67
11.073	0.849
12.498	0.683
8.483	0.637
8.772	0.972
10.438	0.721
13.197	1.075
9.414	0.622
10.457	0.767
11.71	1.15
10.249	0.756
10.581	0.548
7.927	0.752
9.967	0.55
11.569	0.889
9.922	0.67
10.12	0.77
11.119	0.705
10.27	0.738
9.369	0.699
8.678	0.745
11.615	0.671
11.582	0.785
9.039	0.664
9.807	0.465
7.8	0.681
12.063	0.793
10.976	1.229
10.433	0.779
9.831	0.45
8.058	0.74
8.661	0.995
10.603	0.539
10.525	0.238
8.952	0.416
9.831	0.483
6.866	0.965
7.888	1.063
9.295	0.39
9.982	0.494
8.691	0.708
9.577	1.361
11.453	0.719
9.178	0.304
9.641	0.475
7.772	0.943
10.985	0.984
10.664	0.91
8.863	0.502
9.484	0.499
10.151	0.576
8.66	0.498
11.417	0.503
9.812	0.925
8.094	0.632
7.585	0.265
10.18	0.181
8.587	0.509
8.736	1.269
10.704	0.505
9.816	0.598
11.892	0.806
11.18	0.231
10.628	0.737
8.824	0.982
9.685	0.76
10.7	1.015
10.471	0.384
9.425	0.617
8.731	0.536
9.949	0.692
10.111	0.861
10.466	0.803
8.185	0.914
11.679	1.257
10.406	0.565
9.004	0.655
11.143	0.672
10.972	0.564
10.161	0.373
9.489	0.555
9.006	0.84
11.165	0.738
9.62	0.685
9.369	1.523
9.043	0.642
9.082	0.499
9.362	0.731
9.076	0.622
8.356	0.789
9.118	0.874
9.389	2.006
8.862	0.277
11.742	0.861
8.64	0.927
8.161	0.607
8.689	0.667
8.824	0.654
9.056	0.669
9.293	0.916
8.887	0.467
12.121	1.301
10.281	0.648
11.249	0.311
9.449	0.748
11.655	0.893
8.956	0.712
10.894	1.191
10.065	0.87
9.425	0.488
9.567	0.542
11.681	0.457
8.817	0.804
10.405	1.22
6.876	0.931
8.724	1.06
7.894	0.431
8.78	1.164
9.676	0.329
10.471	0.598
7.413	0.755
8.176	0.735
8.962	0.675
8.594	0.496
9.173	0.482
9.31	0.755
10.138	1.278
9.207	1.475
10.586	1.229
10.9	0.648
8.78	0.333
9.844	0.523
9.575	1.075
10.056	0.66
11.519	1.034
10.869	0.737
9.603	0.602
10.365	0.513
9.065	1.049
9.262	0.543
10.552	0.524
10.41	0.478
10.317	1.001
9.763	0.68
8.627	0.769
8.515	0.857
8.887	0.507
8.149	0.613
10.097	0.906
7.627	0.694
9.382	0.41
11.018	0.38
10.32	0.291
9.204	0.647
8.465	0.886
8.396	0.423
8.685	0.278
9.456	0.749
9.214	0.561
10.938	0.525
7.717	0.607
8.76	0.505
9.631	0.559
6.921	1.796
8.423	0.704
9.36	1.105
9.129	1.112
9.388	0.753
9.185	0.331
8.633	0.493
9.473	0.503
10.582	0.79
7.536	0.98
8.762	0.545
9.069	0.849
10.692	0.472
8.689	0.479
10.595	0.703
11.669	0.809
8.776	0.491
9.869	0.523
8.881	0.659
8.751	0.321
9.864	0.669
10.745	0.592
10.191	0.905
9.364	0.868
8.441	0.785
9.763	1.129
10.286	0.605
10.561	1.026
7.956	0.659
9.266	0.906
9.28	0.85
9.826	0.861
9.088	0.691
11.449	0.696
10.129	0.599
9.495	0.78
9.875	0.807
11.652	1.287
8.713	0.843
9.231	0.415
7.818	0.781
10.224	0.493
10.748	0.337
8.141	0.846
11.319	0.549
7.949	0.784
11.918	1.114
7.758	0.96
10.198	0.624
10.989	0.446
9.284	0.462
10.132	0.968
9.944	0.944
7.676	0.388
11.49	0.876
8.92	0.481
9.198	0.366
10.709	0.55
8.542	0.632
10.304	0.736
12.159	1.34
9.227	0.385
10.481	0.69
9.765	0.55
9.959	1.019
10.661	0.778
11.441	0.798
10.783	0.478
10.482	0.66
10.797	0.35
12.09	1.122
15.072	1.699
10.258	0.25
9.193	0.501
11.761	0.561
10.024	0.893
12.384	1.434
9.317	0.885
9.808	0.537
10.559	0.614
10.171	0.923
11.075	0.744
8.496	1.557
9.564	0.804
10.948	0.794
12.381	0.613
9.787	0.484
11.546	0.892
11.116	0.768
10.656	0.677
8.857	0.236
10.555	1.036
8.164	0.881
11.232	0.724
6.991	1.345
9.129	0.746
11.369	0.59
13.324	1.403
11.866	0.951
10.989	0.456
11.663	0.782
10.293	1.186
9.866	0.733
9.987	0.844
7.683	1.91
10.596	0.164
9.719	0.635
9.842	0.68
8.642	0.497
13.006	0.757
8.762	1.067
8.525	0.883
11.504	0.617
9.659	0.359
10.41	0.552
9.826	0.36
8.786	0.635
11.166	0.615
11.227	0.877
9.534	0.443
10.017	1.118
10.194	0.516
9.125	1.645
9.547	0.386
10.044	0.381
9.953	0.623
8.79	0.715
11.64	0.571
11.318	0.53
9.044	0.484
11.67	1.175
8.494	0.668
10.14	0.465
10.419	0.33
9.57	0.802
9.116	0.189
9.274	0.589
8.828	0.632
9.958	1.203
8.069	1.033
8.704	1.014
9.114	0.942
9.142	0.868
11.788	1.068
11.04	0.655
9.403	0.756
10.084	0.468
10.397	0.838
9.59	0.676
8.334	1.016
9.308	0.704
10.198	0.274
10.617	0.798
9.377	0.513
8.664	0.413
11.072	1.202
8.655	1.201
9.162	0.527
8.47	0.526
9.185	0.504
9.59	1.139
11.995	1.303
8.432	0.839
9.143	1.019
10.42	0.747
9.795	0.729
8.602	0.853
9.641	0.494
10.629	0.538
9.072	0.662
9.252	0.659
6.971	1.554
8.762	0.578
8.484	0.806
11.357	0.956
9.234	0.422
10.206	1.116
8.495	0.465
9.738	0.46
9.877	0.724
10.536	0.392
8.662	0.693
10.7	0.346
11.966	0.83
9.158	0.922
10.788	0.503
9.717	0.383
10.537	0.329
9.816	0.717
8.823	0.629
8.327	1.019
10.161	0.458
9.581	0.343
11.461	0.503
7.799	0.52
7.792	1.219
8.838	0.644
11.254	0.509
9.789	1.035
7.525	0.399
8.598	0.935
12.225	0.719
11.245	0.707
10.064	0.77
9.948	0.574
10.009	0.505
8.568	0.686
8.6	0.752
10.901	0.573
8.51	0.477
10.259	0.673
10.352	0.975
10.705	0.606
10.65	0.741
10.845	0.667
10.609	0.544
8.584	0.664
10.818	1.549
11.101	0.524
10.423	0.432
7.398	0.848
9.606	0.61
11.93	0.774
9.928	0.478
10.452	0.539
8.987	0.634
7.998	1.987
10.08	0.685
9.832	0.621
9.783	0.396
8.891	0.893
8.76	0.9
9.007	0.409
10.179	0.458
9.458	0.712
9.641	0.492
10.332	0.481
7.982	0.517
8.678	0.768
9.782	0.683
8.728	0.535
13.222	1.019
10.398	0.523
10.313	0.537
8.343	0.958
8.263	0.862
10.173	0.906
10.366	0.256
9.12	0.651
8.693	0.457
11.178	0.603
6.792	1.518
8.444	0.157
8.294	0.713
9.348	0.639
8.581	1.429
7.919	0.797
11.944	0.705
8.898	0.363
9.768	0.594
10.783	0.347
10.13	1.023
8.884	1.043
10.198	0.538
10.215	0.568
9.128	0.557
11.234	0.866
9.074	0.715
10.273	0.465
11.393	0.758
9.282	0.766
9.757	0.222
8.376	0.767
9.017	0.742
9.785	0.567
10.921	2.014
11.044	0.77
8.028	1.095
10.606	0.496
10.404	0.48
10.18	0.811
8.43	0.571
10.292	0.575
11.084	0.869
8.97	0.312
9.042	0.54
10.286	0.751
8.034	0.53
9.054	1.113
9.276	0.468
9.082	0.712
8.121	0.972
11.295	0.733
9.287	1.068
7.839	0.651
8.836	0.563
9.574	0.756
8.978	0.617
10.575	0.651
9.67	1.028
9.46	0.444
9.376	0.4
12.348	1.004
9.435	1.028
10.098	0.511
12.23	0.991
9.697	0.756
8.613	0.539
8.91	0.436
8.298	0.453
10.391	0.716
9.219	0.998
8.33	0.417
10.556	0.974
7.926	0.676
12.047	0.698
10.594	1.391
8.307	0.956
10.75	1.004
8.077	1.531
9.28	0.849
10.746	1.156
9.133	0.463
10.277	0.703
8.586	1.135
9.692	0.314
9.177	1.32
8.109	1.745
7.751	0.943
11.869	0.607
7.078	1.088
8.531	0.733
7.489	1.263
6.569	0.704
10.858	0.627
9.519	0.638
8.759	1.059
8.213	0.888
9.872	0.265
10.45	0.982
9.343	0.768
10.703	0.718
9.233	0.512
9.128	0.6
10.343	0.638
9.348	0.917
10.593	0.765
8.363	0.721
11.824	1.266
10.062	0.205
7.68	0.63
8.935	0.76
9.679	0.643
10.988	0.982
8.553	0.464
8.46	0.519
7.212	0.863
11.734	0.524
11.412	0.413
10.635	0.223
8.971	0.716
9.587	0.429
7.864	0.727
8.105	0.643
12.637	0.92
10.965	0.474
10.544	0.599
8.593	0.934
8.984	0.478
8.638	0.732
9.909	0.662
9.795	0.616
10.459	0.649
11.484	0.636
9.863	0.446
10.631	0.476
11.455	0.776
8.999	0.527
7.908	0.728
9.229	0.758
8.751	0.662
10.776	0.863
8.685	0.907
9.144	0.633
10.499	0.536
11.44	0.598
11.436	0.82
7.985	0.854
10.119	0.698
9.086	0.707
8.709	1.069
9.307	0.948
9.432	1.009
10.694	0.819
8.765	0.726
10.334	0.495
10.938	0.975
9.908	0.432
8.255	1.201
7.655	0.88
9.954	1.388
8.736	0.434
9.244	0.369
9.602	0.703
8.6	0.684
10.971	0.501
10.648	0.456
8.528	0.638
8.956	0.295
9.454	0.592
8.404	0.975
8.685	0.364
9.971	0.398
9.323	0.266
8.701	0.31
10.399	0.971
8.922	1.313
11.618	0.816
10.945	0.77
12.408	0.769
10.261	0.482
10.185	0.728
9.826	0.482
8.976	0.556
7.517	0.701
9.668	0.672
9.703	0.621
9.371	0.363
7.347	0.846
8.248	0.556
10.314	0.387
9.798	0.65
9.469	0.578
9.761	0.787
7.946	0.919
8.466	0.509
7.643	0.573
9.643	0.404
