Coordination,r1_c36,r2_c36,r3_c36,r1_aa99sb*
Tetrahedral,8.565,8.565,8.565,0.301
Tetrahedral,10.564,8.775,10.751,0.224
Tetrahedral,8.984,9.856,9.167,0.384
Tetrahedral,13.354,10.107,7.361,0.221
Tetrahedral,8.623,9.229,10.294,0.856
Tetrahedral,9.01,8.025,8.822,0.191
Tetrahedral,7.971,8.334,11.137,0.595
Tetrahedral,10.557,9.126,11.977,0.28
Tetrahedral,12.311,11.353,8.954,1.02
Tetrahedral,8.596,9.131,9.782,1.01
Tetrahedral,9.153,7.99,7.637,0.735
Tetrahedral,11.256,9.077,7.526,0.338
Tetrahedral,8.671,8.958,8.752,0.366
Tetrahedral,8.684,10.723,9.556,0.488
Tetrahedral,8.54,7.993,9.175,0.419
Tetrahedral,9.042,9.175,9.444,0.531
Tetrahedral,8.5,9.361,7.605,0.572
Tetrahedral,8.514,8.809,10.9,0.512
Tetrahedral,8.406,9.67,9.874,0.547
Tetrahedral,9.334,10.282,9.996,0.711
Tetrahedral,8.195,9.18,11.949,0.308
Tetrahedral,8.578,8.01,11.315,0.539
Tetrahedral,8.446,9.44,9.608,0.552
Tetrahedral,9.901,8.827,8.047,0.141
Tetrahedral,9.707,9.857,8.651,0.118
Tetrahedral,8.794,7.836,9.105,1.422
Tetrahedral,8.845,9.704,9.979,0.305
Tetrahedral,9.565,10.005,11.298,0.654
Tetrahedral,8.779,8.401,11.462,0.291
Tetrahedral,10.148,10.116,9.037,0.311
Tetrahedral,10.271,8.387,9.565,0.538
Tetrahedral,10.324,10.593,11.806,0.344
Tetrahedral,10.172,9.367,9.084,0.667
Tetrahedral,10.628,10.094,9.016,1.206
Tetrahedral,10.635,6.598,10.533,0.58
Tetrahedral,10.608,9.533,10.626,0.523
Tetrahedral,11.534,9.22,12.978,1.046
Tetrahedral,10.345,10.361,10.419,0.496
Tetrahedral,12.145,12.064,11.172,0.329
Tetrahedral,9.542,11.639,11.511,0.713
Tetrahedral,8.085,11.872,10.443,0.439
Tetrahedral,11.531,8.749,8.884,0.38
Tetrahedral,9.933,10.487,8.828,0.887
Tetrahedral,7.655,7.415,9.853,0.716
Tetrahedral,8.807,10.427,10.187,0.677
Tetrahedral,9.615,7.78,12.95,1.182
Tetrahedral,9.685,7.74,10.109,0.403
Tetrahedral,7.719,8.821,9.055,0.899
Tetrahedral,11.202,9.812,10.125,0.942
Tetrahedral,12.979,7.404,13.648,0.862
Tetrahedral,12.03,8.361,14.885,0.467
Tetrahedral,9.742,9.716,12.404,0.308
Tetrahedral,12.516,7.973,10.157,0.91
Tetrahedral,11.568,8.652,9.148,0.242
Tetrahedral,10.494,9.692,10.314,0.245
Tetrahedral,8.246,9.858,8.789,0.697
Tetrahedral,9.468,10.699,9.977,0.616
Tetrahedral,9.789,7.368,10.561,0.133
Tetrahedral,8.252,12.287,9.974,0.157
Tetrahedral,9.47,10.061,10.604,0.696
Tetrahedral,13.991,9.955,9.398,0.588
Tetrahedral,9.96,9.37,7.398,0.479
Tetrahedral,9.876,9.847,10.995,0.758
Tetrahedral,9.103,9.155,9.515,0.664
Tetrahedral,10.622,8.586,10.135,0.873
Tetrahedral,12.674,9.001,10.898,1.039
Tetrahedral,10.58,7.544,11.516,0.922
Tetrahedral,10.449,7.729,10.964,0.374
Tetrahedral,7.785,8.206,9.807,0.661
Tetrahedral,11.342,7.702,9.911,0.595
Tetrahedral,11.053,9.315,10.642,0.816
Tetrahedral,10.545,8.953,9.349,0.443
Tetrahedral,11.666,8.968,9.778,0.843
Tetrahedral,11.651,9.444,8.433,0.305
Tetrahedral,9.288,9.358,8.368,0.336
Tetrahedral,8.231,8.155,12.103,0.482
Tetrahedral,8.63,9.719,9.586,0.608
Tetrahedral,9.095,9.152,8.634,0.333
Tetrahedral,8.79,8.263,6.542,0.705
Tetrahedral,12.491,10.006,11.138,0.264
Tetrahedral,10.173,8.73,11.397,1.035
Tetrahedral,8.944,10.184,9.046,0.442
Tetrahedral,11.198,7.295,10.444,0.835
Tetrahedral,9.755,8.663,8.938,0.616
Tetrahedral,10.686,9.602,10.684,0.237
Tetrahedral,11.317,9.013,11.642,0.443
Tetrahedral,10.846,8.631,8.82,0.652
Tetrahedral,9.473,11.639,10.759,0.071
Tetrahedral,10.85,10.347,8.981,0.404
Tetrahedral,9.613,9.271,9.767,0.339
Tetrahedral,10.562,8.142,8.43,0.219
Tetrahedral,9.818,8.462,11.183,0.485
Tetrahedral,8.725,10.583,8.464,0.59
Tetrahedral,8.969,8.299,9.226,0.433
Tetrahedral,10.554,9.989,10.817,0.731
Tetrahedral,10.315,9.713,9.522,0.315
Tetrahedral,11.61,8.036,9.667,1.046
Tetrahedral,10.462,9.364,10.088,0.469
Tetrahedral,10.56,8.185,11.487,0.54
Tetrahedral,10.244,10.676,12.675,0.107
Tetrahedral,9.513,10.898,11.15,0.398
Tetrahedral,9.094,8.37,9.505,0.68
Tetrahedral,10.137,8.395,9.905,0.522
Tetrahedral,11.367,8.303,9.1,0.8
Tetrahedral,12.571,9.814,12.223,0.697
Tetrahedral,9.925,7.727,8.239,0.702
Tetrahedral,10.121,9.013,9.954,0.298
Tetrahedral,9.056,8.005,10.862,1.014
Tetrahedral,10.92,9.129,12.146,0.428
Tetrahedral,9.56,10.634,10.733,0.413
Tetrahedral,10.602,8.2,9.187,1.118
Tetrahedral,11.62,9.854,12.021,1.17
Tetrahedral,8.625,7.671,9.911,0.263
Tetrahedral,8.468,9.86,9.226,0.754
Tetrahedral,11.73,10.818,9.59,0.269
Tetrahedral,12.341,10.591,9.538,0.602
Tetrahedral,9.311,9.025,11.427,0.765
Tetrahedral,11.46,10.854,11.015,0.489
Tetrahedral,10.072,9.229,8.891,0.418
Tetrahedral,9.789,11.575,9.911,0.386
Tetrahedral,8.066,9.646,11.243,0.709
Tetrahedral,10.62,10.544,10.721,0.607
Tetrahedral,10.645,9.88,10.312,0.212
Tetrahedral,9.634,10.986,9.35,0.783
Tetrahedral,8.344,9.911,9.134,0.338
Tetrahedral,8.865,9.749,11.872,0.872
Tetrahedral,9.399,8.469,8.666,0.12
Tetrahedral,12.241,10.292,10.333,0.507
Tetrahedral,8.524,9.118,8.141,0.625
Tetrahedral,12.876,11.123,9.705,0.403
Tetrahedral,13.34,9.333,10.44,0.667
Tetrahedral,10.072,8.93,9.127,0.587
Tetrahedral,10.991,10.208,15.992,0.701
Tetrahedral,10.966,8.01,9.913,0.504
Tetrahedral,10.202,9.945,11.124,0.318
Tetrahedral,10.383,10.02,11.56,0.251
Tetrahedral,10.699,8.893,9.235,0.844
Tetrahedral,9.662,10.932,9.943,0.523
Tetrahedral,9.645,9.616,10.079,0.372
Tetrahedral,8.999,10.251,10.521,0.86
