Tetrahedral	Seesaw
0.7	8.189
0.813	8.44
0.491	8.348
0.637	7.578
0.55	8.732
1.048	8.604
0.493	8.342
0.997	8.759
1.232	8.049
0.9	7.673
0.969	7.949
0.667	8.937
0.599	7.255
0.934	7.369
1.01	7.716
1.401	6.422
0.924	7.656
0.618	8.394
1.147	6.41
1.045	7.865
1.032	6.881
1.088	6.622
1.336	6.15
0.609	8.985
0.481	8.896
0.839	8.006
0.628	7.841
0.983	7.848
0.632	8.019
0.409	8.48
0.818	8.329
1.105	8.037
0.975	8.955
1.001	6.698
0.544	8.213
0.875	6.906
0.553	7.886
0.457	7.521
0.755	7.724
0.624	6.792
1.35	6.81
0.969	8.421
0.687	7.947
0.608	8.417
0.661	8.233
0.741	7.909
0.661	8.467
1.306	7.479
0.697	7.942
0.68	7.261
0.832	7.995
0.954	7.469
0.663	8.206
0.735	7.478
0.908	7.303
0.766	7.236
0.649	7.186
0.879	7.679
1.486	5.013
0.748	7.252
1.231	6.851
1.112	7.496
0.839	6.392
0.908	8.217
0.74	7.707
0.562	7.87
1.015	6.85
0.349	8.624
0.526	8.283
0.519	7.863
1.256	6.463
0.412	8.855
0.459	7.728
1.194	5.561
0.684	7.728
0.744	7.848
1.124	6.947
0.753	8.522
1.232	6.509
0.621	8.515
0.522	8.268
1.098	6.5
0.529	8.525
0.928	6.214
0.889	7.549
1.041	6.947
0.69	8.499
0.543	8.529
0.514	8.032
0.481	9.085
1.146	6.17
0.677	8.0
0.794	8.852
1.106	7.083
0.436	8.212
0.621	8.578
0.673	8.51
0.438	8.05
0.685	7.772
0.515	8.644
0.534	7.749
0.446	9.317
0.567	8.034
0.683	7.246
0.936	7.018
0.391	8.013
0.868	7.651
0.925	7.253
1.044	6.135
0.968	7.64
0.756	7.324
0.772	8.475
0.837	7.87
0.379	8.82
0.69	7.356
0.76	6.878
0.988	7.599
0.892	7.933
0.397	8.115
0.416	8.649
1.296	6.476
1.087	8.271
0.798	8.033
0.975	7.667
0.744	6.857
0.765	8.099
0.497	8.614
0.832	6.496
0.449	8.415
0.958	7.988
1.164	7.419
1.068	8.246
0.847	8.859
0.609	7.229
0.772	7.761
0.629	8.093
0.867	8.418
0.614	7.655
1.434	6.343
0.611	8.221
1.069	6.66
0.816	7.779
0.685	9.143
1.16	6.88
0.768	6.44
0.976	9.082
1.113	8.145
1.302	8.093
0.895	7.996
0.845	7.566
0.738	8.671
0.783	7.863
0.559	9.006
0.918	8.341
0.683	8.123
0.887	7.845
0.636	8.109
0.55	8.936
0.372	7.612
0.698	7.494
0.445	8.729
0.889	7.586
1.214	6.819
0.673	8.417
0.758	7.452
0.846	8.894
0.518	9.021
0.391	8.873
1.337	7.455
1.101	7.683
0.869	7.634
0.468	8.66
0.801	7.053
0.497	8.729
0.561	7.911
1.137	7.947
0.565	8.427
0.888	7.444
0.799	7.42
0.609	8.066
0.409	8.568
0.57	9.426
1.595	6.822
1.375	5.178
0.567	7.285
1.2	7.058
0.657	7.472
0.856	8.196
0.737	8.008
0.836	7.178
0.67	8.161
1.1	7.901
0.971	8.044
1.208	6.214
0.782	7.812
0.787	7.718
0.681	8.639
0.824	8.192
0.645	8.161
0.729	8.477
0.883	7.685
1.287	7.136
0.606	8.686
0.48	8.174
0.592	7.862
0.618	8.146
0.769	8.541
0.28	8.993
0.799	8.015
1.379	6.738
0.708	7.671
0.515	8.635
0.69	8.406
1.068	6.073
0.697	8.237
0.341	8.136
0.782	6.95
0.689	7.501
1.406	6.343
0.973	7.885
0.429	9.136
1.028	6.221
0.664	8.245
0.548	8.766
0.379	8.511
0.52	7.616
1.081	6.928
0.736	7.895
1.105	8.013
1.218	6.747
0.584	6.831
0.539	8.89
0.693	8.216
0.804	7.887
0.75	8.357
0.907	8.788
1.069	8.09
0.542	8.452
1.213	5.905
0.587	8.126
1.56	7.491
0.712	8.779
0.876	8.03
0.815	6.947
0.55	7.902
0.745	7.025
0.689	7.91
0.521	8.008
0.494	8.402
0.637	7.565
0.736	8.716
0.543	8.867
0.421	9.136
0.945	7.728
1.08	7.705
1.161	7.519
