Tetrahedral	Seesaw
11.229	0.69
9.108	0.57
7.409	0.99
10.316	0.727
11.086	1.258
9.46	0.742
8.628	0.508
8.273	0.483
12.176	1.071
8.741	1.545
9.833	0.666
10.935	0.592
9.258	2.052
11.182	0.531
8.376	0.785
11.48	0.415
9.77	0.518
9.171	0.526
7.991	0.837
9.909	1.061
9.837	0.919
12.611	1.444
10.531	0.892
13.143	1.116
10.882	0.56
9.638	0.901
10.634	0.519
8.613	0.348
10.172	0.807
10.874	0.634
10.101	0.479
8.692	0.537
10.723	0.732
11.589	0.665
10.922	0.849
8.21	0.71
9.662	0.9
9.037	1.145
10.34	0.539
9.335	0.624
8.796	0.594
9.224	0.508
10.322	0.651
11.832	1.365
9.478	1.002
10.689	0.678
10.244	0.462
8.557	0.666
7.627	0.526
12.598	1.322
9.13	0.304
8.165	0.399
10.814	0.563
8.962	0.338
10.125	0.275
9.891	0.507
8.078	0.396
10.65	0.69
11.009	0.768
10.238	0.494
9.497	0.838
9.347	0.822
9.176	0.574
9.437	0.929
8.737	0.767
9.292	0.663
10.862	0.587
10.532	0.587
8.171	0.766
12.194	1.033
8.57	0.56
7.791	0.804
10.171	0.77
8.987	1.311
9.809	0.564
9.602	0.426
10.689	0.58
10.138	0.813
10.256	0.755
8.983	0.552
8.831	1.005
10.224	0.818
9.279	0.445
8.952	0.401
8.997	0.379
10.121	0.474
11.546	0.497
9.612	0.462
10.45	0.438
8.635	0.789
11.866	0.959
9.319	0.724
9.989	0.525
9.579	0.72
8.686	1.051
8.792	0.574
9.396	0.375
9.548	0.681
11.409	0.442
9.98	0.576
9.027	0.765
11.502	1.104
9.838	0.651
10.807	0.345
9.848	0.334
9.279	0.884
9.832	0.448
7.404	1.16
10.968	0.466
8.623	0.532
11.085	0.837
11.928	0.803
9.26	0.309
11.331	0.836
10.074	0.702
9.117	0.543
11.144	1.213
11.109	0.563
9.252	0.706
11.152	0.887
9.308	0.625
9.362	0.247
10.288	0.655
9.608	0.53
9.203	0.7
10.351	0.889
9.164	0.877
7.665	1.384
11.198	0.745
8.695	0.335
9.034	0.686
10.895	0.9
6.976	0.902
9.444	0.856
8.766	0.682
10.073	0.67
10.106	0.513
10.905	0.776
10.295	0.771
10.704	0.418
8.93	0.631
9.94	0.789
8.637	0.445
10.486	0.657
8.713	0.734
11.66	0.7
9.029	0.693
10.589	0.909
9.93	0.749
9.298	1.309
10.271	0.659
9.573	0.44
9.377	0.623
9.436	0.559
9.139	0.341
8.8	0.394
8.651	0.59
7.69	1.174
11.139	0.428
8.922	1.499
9.77	0.332
9.477	0.441
10.264	0.469
11.399	0.469
11.277	0.762
9.713	0.884
11.287	0.787
9.49	0.371
11.619	0.496
11.701	0.917
10.498	0.744
9.006	0.501
10.447	0.327
11.416	0.644
9.034	0.297
10.115	0.618
10.913	0.812
9.121	0.651
8.947	0.636
9.213	0.767
13.368	0.979
11.888	0.875
8.401	0.71
13.249	1.292
10.45	0.52
8.565	0.697
8.31	0.748
9.994	0.696
9.638	0.745
10.946	0.781
8.807	0.376
10.766	0.686
10.697	0.643
8.535	1.203
7.63	1.221
11.084	0.794
13.074	1.411
9.613	0.491
11.298	0.501
10.126	0.578
8.859	0.534
9.61	0.616
10.837	0.785
11.11	0.806
8.961	0.737
11.134	0.769
10.418	0.397
9.247	0.821
11.902	0.776
9.954	0.726
10.592	0.925
9.482	0.45
10.315	0.57
10.687	0.359
8.418	1.264
11.702	0.379
10.139	0.85
10.661	1.813
9.7	1.193
11.046	2.112
9.342	1.267
9.854	0.96
10.472	0.77
9.001	0.449
11.067	0.694
9.114	1.11
10.172	0.433
9.346	0.623
8.424	0.753
9.015	0.63
10.748	0.481
11.056	0.759
9.08	0.739
8.922	0.951
8.319	1.038
10.777	0.769
9.929	0.535
9.484	0.93
9.202	0.478
8.403	0.835
8.788	0.473
9.577	0.433
8.575	1.042
10.678	0.54
8.426	0.698
8.358	0.912
7.479	0.732
8.582	0.88
9.005	0.876
9.467	0.747
12.254	0.621
10.527	0.76
10.017	0.481
8.27	0.835
9.736	1.151
8.975	0.521
10.077	0.655
9.998	0.641
10.08	0.674
9.304	0.722
8.183	0.612
8.27	0.64
12.181	0.744
9.04	0.849
9.087	0.53
10.285	0.614
8.774	0.735
9.57	0.578
8.801	0.487
8.831	0.653
11.73	0.716
8.92	0.785
10.081	0.559
11.747	0.945
10.394	0.233
7.916	0.787
9.801	1.267
8.747	1.053
11.386	0.667
7.906	0.654
9.394	0.972
10.067	0.496
8.876	0.422
10.293	0.852
9.338	0.221
10.182	0.423
8.846	0.915
9.342	1.298
10.468	0.946
8.756	0.754
9.95	0.82
7.164	0.927
7.828	1.181
10.357	0.594
10.776	0.944
8.059	0.78
8.919	0.586
10.204	0.717
10.279	0.67
9.752	0.604
11.615	0.696
9.593	0.116
12.094	0.709
10.137	0.578
11.302	0.346
13.231	1.934
10.178	0.684
9.484	0.619
10.301	0.634
9.454	0.878
8.521	0.722
9.642	0.862
10.013	0.691
9.516	0.515
9.088	0.651
9.179	0.545
9.624	0.618
9.553	0.626
10.712	0.991
8.615	0.763
10.081	0.483
9.664	0.746
13.343	1.492
9.397	0.19
9.459	0.894
11.242	0.991
10.93	0.824
13.188	1.206
10.842	0.575
10.169	0.692
9.51	0.366
8.279	0.615
8.489	1.232
12.356	0.892
7.569	1.206
8.543	0.715
8.381	0.563
8.823	0.732
10.939	1.044
10.626	0.574
9.105	0.734
9.189	0.443
9.469	0.804
10.04	0.757
10.487	1.091
9.4	1.043
9.703	1.088
10.444	0.841
8.289	0.728
11.387	1.198
10.979	0.585
10.247	1.248
10.082	0.459
9.305	0.49
8.719	0.871
8.202	0.626
9.126	0.48
9.145	0.654
9.11	1.174
10.583	1.286
10.105	0.505
8.712	0.558
11.106	0.466
10.288	0.943
8.592	0.589
10.659	0.472
11.786	1.456
10.986	0.4
12.396	1.39
13.175	0.967
8.937	1.556
10.066	0.348
7.485	0.996
9.262	0.517
10.139	0.521
9.694	1.001
8.82	0.988
8.185	0.521
7.675	0.916
9.553	0.307
8.935	1.137
9.315	1.404
10.529	0.823
9.846	0.989
11.169	0.787
10.749	0.851
9.909	0.593
7.761	0.698
9.702	0.777
11.747	0.651
11.318	1.377
10.219	0.579
11.845	0.694
9.538	0.36
10.275	0.363
9.942	0.922
10.451	0.736
11.102	0.902
9.288	0.803
10.818	0.571
8.28	0.931
11.512	0.66
10.671	0.474
9.63	0.641
10.565	0.818
11.286	0.544
10.004	0.597
11.169	1.498
10.628	0.711
8.988	0.727
10.342	0.704
10.251	0.551
10.252	0.91
11.15	0.614
12.097	1.061
10.795	0.946
12.215	1.065
10.72	0.721
11.361	0.969
10.627	0.562
11.057	0.665
9.148	1.016
11.665	0.978
9.941	0.641
11.276	0.802
9.896	1.112
8.524	0.996
10.504	0.89
9.078	1.126
9.668	0.697
9.955	1.057
8.583	1.092
10.063	0.43
8.643	0.499
11.53	0.825
9.465	0.889
8.696	0.983
12.287	0.71
11.475	0.825
11.336	1.054
8.795	0.933
10.552	0.44
8.364	0.638
12.205	0.634
10.714	0.497
